Case ID,Case Name,Matched Categories,Matching Criteria,Solved Issues,Direct Matching Issues
rec8Pp2wACf60MRDG,Resolve Eyelid Bags with Blepharoplasty,Eyelid & Eye Area Concerns,Lower Eyelid Bags,,
rec8Xy1Z2ni0PX1Pm,Resolve Jawline Ill-Defined with Microneedling,Restore Volume & Definition; Improve Skin Texture & Tone,Ill-Defined Jawline,,
rec8oAUgDoE5dOW2z,Resolve Narrow Jawline with Filler,Restore Volume & Definition,Narrow Jawline,,
rec90gBqPjUjBzuNE,Resolve Dorsal Hump with Rhinoplasty,Facial Balancing,Dorsal Hump,,
rec9uePVK7wQZBjey,Tighten Skin Laxity with Topical/Skincare,Improve Skin Texture & Tone,,,
recARtfgj2ySzuC5S,Resolve Excess Skin - Upper Eyelid with Chemical Peel,Improve Skin Texture & Tone; Eyelid & Eye Area Concerns,Excess Upper Eyelid Skin,,
recAexYUr4jXiGmTC,Resolve Nasal Tip Too Narrow with Rhinoplasty,Facial Balancing; Restore Volume & Definition,Nasal Tip Too Narrow,,
recAjJLwfkIaiTNp2,Resolve Lacking Philtral Column with Lip Lift,Facial Balancing; Restore Volume & Definition,Lacking Philtral Column,,
recBQUDh0L61EBq02,Resolve Wide Jawline with Jaw Reduction,Restore Volume & Definition,,,
recBsG9wJH2qKf451,Resolve Neck Excess Skin with Topical/Skincare,Improve Skin Texture & Tone,Loose Neck Skin,,
recCkYKBe6zzlKqa5,Resolve Over-Projected Chin with Jaw Reduction,Facial Balancing,Over-Projected Chin,,
recDAOWBhchSdBuNe,Lighten Dark Circles with Fat Grafting,Eyelid & Eye Area Concerns,Under Eye Dark Circles,,
recDI1rQMOmgftRzP,Resolve Jowls with Threadlift,Improve Skin Texture & Tone,Jowls,,
recDazoE3e3MXDtVg,Resolve Gummy Smile with Filler,Facial Balancing,Gummy Smile,,
recDy7C8dUf4kBz5d,Resolve Lower Cheek Volume Depletion with Fat Grafting,Restore Volume & Definition,Lower Cheeks - Volume Depletion,,
recEEd9bNK0HFEx7q,Fade Dark Spots with Chemical Peel,Improve Skin Texture & Tone; Reduce Dark Spots & Discoloration,Dark Spots,,
recEsdzQYjCmEy2KZ,Resolve Lower Cheek Volume Depletion with Filler,Restore Volume & Definition,Lower Cheeks - Volume Depletion,,
recEwPIQH7y50WaHW,Resolve Under Eye Hollow with Oral/Topical,Restore Volume & Definition; Eyelid & Eye Area Concerns,Under Eye Hollow,,
recEySwzh8YSQfSJh,Contour Submentum with Liposuction,Improve Skin Texture & Tone,Excess/Submental Fullness Obtuse Cervicomental Angle [DEPRECATED],,
recFBxQziSNGXfSJe,Resolve Negative Canthal Tilt with Lateral Canthopexy,Eyelid & Eye Area Concerns,Negative Canthal Tilt,,
recFYm60eVxovSsxJ,Tighten Skin Laxity with Heat/Energy,Improve Skin Texture & Tone,,,
recFwufUHnC60oZ7t,Smooth Smile Lines with Chemical Peel,Smooth Wrinkles & Lines; Improve Skin Texture & Tone,,,
recFyiZqHM0D3SdUH,Resolve Jowls with Filler,Improve Skin Texture & Tone,Jowls,,
recFzqrRez2uhMK7p,Improve Cheekbone Fullness with Facial Implant,Restore Volume & Definition,Cheekbone - Not Prominent,,
recG8ZoEk1MDp6CaG,Hydrate Dry Lips with Topical HLA,Improve Skin Texture & Tone,Dry Lips,,
recGAKWoTCtk9nifB,Resolve Shallow Labiomental Groove with Fat Grafting,Restore Volume & Definition,,,
recGKmLqj2i74jqXO,Resolve Jawline Ill-Defined with Filler,Restore Volume & Definition,Ill-Defined Jawline,,
recGLGC0RNiVMZwje,Contour Submentum with Liposuction,Improve Skin Texture & Tone,Excess/Submental Fullness Obtuse Cervicomental Angle [DEPRECATED],,
recGS91fpf9suCUhI,Resolve Neck Excess Skin with Chemical Peel,Improve Skin Texture & Tone,Loose Neck Skin,,
recH85gKwK0jkwW56,Resolve Brow Ptosis with Heat/Energy,Facial Balancing,Brow Ptosis,,
recHE5gtVtGQe5FP0,Resolve Lip Thinning When Smiling with Neurotoxin,Smooth Wrinkles & Lines; Restore Volume & Definition,Lip Thinning When Smiling,,
recHUxAPzgduPhz52,Lighten Dark Circles with Heat/Energy,Eyelid & Eye Area Concerns,Under Eye Dark Circles,,
recHgyAffHULS8Pzf,Resolve Eyelid Bags with Filler,Eyelid & Eye Area Concerns,Lower Eyelid Bags,,
recHkYXJuU13Zd8PK,Resolve Oily Skin with Topical/Skincare,Improve Skin Texture & Tone,Oily,,
recI6fnyfUcPBULuv,Resolve Brow Asymmetry with Filler,Facial Balancing,Brow Asymmetry,,
recITWpEtALmDztqr,Resolve Tip Droop When Smiling with Neurotoxin,Smooth Wrinkles & Lines,Tip Droop When Smiling,,
recIfsf45CHSrZjjr,Resolve Tip Droop When Smiling with Rhinoplasty,Facial Balancing,Tip Droop When Smiling,,
recJYK1Mr6LXxrlt1,Resolve Gummy Smile with Lip Release,Facial Balancing,Gummy Smile,,
recJpAlijbaiCnabw,Smooth Under Eye Wrinkles with Neurotoxin,Smooth Wrinkles & Lines; Eyelid & Eye Area Concerns,Under Eye Wrinkles,,
recJqv5n5I5Sc3vep,Tighten Skin Laxity with Filler,Improve Skin Texture & Tone,,,
recL4OUGPvZj8ztOc,Fade Dark Spots with Heat/Energy,Reduce Dark Spots & Discoloration,Dark Spots,,
recLM7Hv6ip1g5JkC,Fade Scars with Chemical Peel,Improve Skin Texture & Tone,Scars,,
recLVToCtcqE8PtqE,Resolve Jawline Ill-Defined with Chemical Peel,Restore Volume & Definition; Improve Skin Texture & Tone,Ill-Defined Jawline,,
recLd6TIaKDSjyfnF,Resolve Lower Cheek Over Fill with Buccal Fat Pad Removal,Facial Balancing,Lower Cheeks - Over-Filled,,
recLiEXtGdqbwGClp,Resolve Retruded Chin with Chin Implant,Restore Volume & Definition,Retruded Chin,,
recN1Hbs50QgZgxQK,Resolve Flat Forehead with Filler,Restore Volume & Definition,Flat Forehead,,
recN7epp9z7dCvNo7,Resolve Cheilosis with Filler,Improve Skin Texture & Tone,,,
recNoy8fYNHPrMJnO,Diminish Blackheads with Oral/Topical,Improve Skin Texture & Tone,Blackheads,,
recNxtvVkfM6wIbn5,Resolve Under Eye Hollow with Fat Grafting,Restore Volume & Definition; Eyelid & Eye Area Concerns,,,
recObiye7WXlfV5AB,Tighten Skin Laxity with Microneedling,Improve Skin Texture & Tone,,,
recOpojB5zUyWRFYq,Resolve Deep Radix with Liquid Rhinoplasty,Facial Balancing,,,
recOyBrkyZwwJ1S0w,Resolve Upper Eyelid Droop with Heat/Energy,Eyelid & Eye Area Concerns,Upper Eyelid Droop,,
recOzMAfbQLdyj0pk,Resolve Alar Hang with Rhinoplasty,Facial Balancing,,,
recPL3MPe8g400jV6,Resolve Temporal Hollow with Fat Grafting,Restore Volume & Definition,Temporal Hollow,,
recPLgIfyPHMoOBFs,Resolve Thin Lips with Filler,Restore Volume & Definition,Thin Lips,,
recPNLhyWgsNfUeQU,Tighten Skin Laxity with Chemical Peel,Improve Skin Texture & Tone,,,
recPeVAFCYuHEcrs1,Resolve Lower Eyelid Sag with Blepharoplasty,Eyelid & Eye Area Concerns,Lower Eyelid Sag,,
recPeXtFJinA94env,Resolve Excess Skin - Lower Eyelid with Blepharoplasty,Improve Skin Texture & Tone; Eyelid & Eye Area Concerns,Lower Eyelid - Excess Skin,,
recQAAfXQpTQLuJdL,Resolve Platysmal Bands with Necklift,Improve Skin Texture & Tone,Platysmal Bands,,
recQOYS1r8g2QsELA,Solve Prejowl Sulcus with Facial Implant,Restore Volume & Definition,Prejowl Sulcus,,
recQaJw1OpbhMrgfU,Contour Submentum with Kybella,Improve Skin Texture & Tone,Excess/Submental Fullness Obtuse Cervicomental Angle [DEPRECATED],,
recRVKr2A5BUZM2jt,Resolve Mid Cheek - Flattened with Fat Grafting,Restore Volume & Definition,Mid Cheek Flattening,,
recRWhIKJdSGH5iNi,Resolve Nasal Tip Too Wide with Rhinoplasty,Facial Balancing,Nasal Tip Too Wide,,
recSEntcPxuGiYAm6,Resolve Brow Asymmetry with Threadlift,Facial Balancing,Brow Asymmetry,,
recSNi15VWPB3PDwU,Resolve Too Wide - Nostril Base with Rhinoplasty,Facial Balancing,,,
recSvpoCu6sSjzv3F,Smooth Under Eye Wrinkles with Filler,Smooth Wrinkles & Lines; Eyelid & Eye Area Concerns,Under Eye Wrinkles,,
recTzzrGAOpXr21EV,Resolve Prejowl Sulcus with Filler,Restore Volume & Definition,Prejowl Sulcus,,
recUOVZa6W2KZ0gm4,Resolve Upper Eye Hollow with Filler,Restore Volume & Definition,Upper Eye Hollow,,
recURzdg3sM9tJZbi,Brighten Under Eye Dark Circles with Microneedling,Improve Skin Texture & Tone; Eyelid & Eye Area Concerns,Under Eye Dark Circles,,
recUXUBEPg7z0Ta6B,Resolve Neck Excess Skin with Heat/Energy,Improve Skin Texture & Tone,Loose Neck Skin,,
recUZXcmjuHGb7hDZ,Resolve Excess Skin - Upper Eyelid with Topical/Skincare,Eyelid & Eye Area Concerns,,,
recUqgRGXd1F9rYFR,Improve Cheekbone Fullness with Facelift,Restore Volume & Definition,Cheekbone - Not Prominent,,
recUrFMXVLkxiTIK6,Resolve Wide Chin with Jaw Reduction,Facial Balancing,,,
recV37RRK7kSKjVug,Resolve Brow Ptosis with Chemical Peel,Facial Balancing; Improve Skin Texture & Tone,Brow Ptosis,,
recVAEz7Cvx50m0no,Resolve Lacking Philtral Column with Fat Grafting,Facial Balancing; Restore Volume & Definition,Lacking Philtral Column,,
recVlEc05yi7BzPCA,Resolve Platysmal Bands with Heat/Energy,Improve Skin Texture & Tone,Platysmal Bands,,
recVr90ML5qDGpqr1,Resolve Nose Under-Rotated with Threadlift,Facial Balancing,Under-Rotated,,
recVyBWsS4pPmbjqa,Resolve Asymmetric Lips with Filler,Facial Balancing,Asymmetric Lips,,
recW30FSgmeCmNTHh,Resolve Asymmetric Lips with Neurotoxin,Facial Balancing; Smooth Wrinkles & Lines,Asymmetric Lips,,
recW9Wu74qZWF56wi,Smooth Nasolabial Lines with Heat/Energy,Smooth Wrinkles & Lines,Nasolabial Folds,,
recWBFCWAZmstER0s,Resolve Neck Excess Skin with Facelift,Improve Skin Texture & Tone,Loose Neck Skin,,
recWqhtAhG8UK6qlt,Resolve Under Eye Hollow with Heat/Energy,Restore Volume & Definition; Eyelid & Eye Area Concerns,Under Eye Hollow,,
recWwH2qqcMeoumQi,Resolve Flat Forehead with Fat Grafting,Restore Volume & Definition,Flat Forehead,,
recX5Ugv9bYGafcLz,Resolve Under Eye Hollow with Blepharoplasty,Restore Volume & Definition; Eyelid & Eye Area Concerns,,,
recX6nIQTSQzpbRf2,Tighten Skin Laxity with Neurotoxin,Smooth Wrinkles & Lines; Improve Skin Texture & Tone,,,
recX8fpi4sKiMbVjE,Resolve Brow Ptosis with Microneedling,Facial Balancing; Improve Skin Texture & Tone,Brow Ptosis,,
recXUq7HQP9OJIawU,Diminish Red Spots with Oral/Topical,Improve Skin Texture & Tone; Clear Acne & Minimize Pores,Acne [DEPRECATED],,
recXWbmo42zOd9Mch,Resolve Crooked Nose with Liquid Rhinoplasty,Facial Balancing,Crooked Nose,,
recXliMUxm8xUqUTS,Resolve Jawline Ill-Defined with Liposuction,Restore Volume & Definition,Ill-Defined Jawline,,
recY4UBtk4mI7OtuG,Smooth Smile Lines with Fat Grafting,Smooth Wrinkles & Lines; Improve Skin Texture & Tone,Nasolabial Folds Marionette Lines Jowls,,
recYHGC8Zuf3RQOjq,Resolve Upper Eyelid Droop with Chemical Peel,Improve Skin Texture & Tone; Eyelid & Eye Area Concerns,Upper Eyelid Droop,,
recYNu8T6nwDRGl7P,Resolve Cheekbone - Not Prominent with Fat Grafting,Restore Volume & Definition,Cheekbone - Not Prominent,,
recYfha7wV8CDu2QI,Resolve Shallow Labiomental Groove with Filler,Restore Volume & Definition,,,
recYjY7WKsBNNEzJ4,Resolve Platysmal Bands with Threadlift,Improve Skin Texture & Tone,Platysmal Bands,,
recZYsKwCgdoClypF,Resolve Temporal Hollow with Filler,Restore Volume & Definition,Temporal Hollow,,
reca2WnfVwkffvwQ8,Resolve Retruded Chin with Filler,Restore Volume & Definition,Retruded Chin,,
recb6AfUJDmUicgMf,Resolve Wide Chin with Filler,Facial Balancing,,,
recb6VX1xzMkEWNDb,Resolve Lip Thinning When Smiling with Lip Lift,Restore Volume & Definition,Lip Thinning When Smiling,,
recbDNhFYwuvbmwkF,Smooth Neck Lines with Filler,Smooth Wrinkles & Lines; Improve Skin Texture & Tone,Neck Lines,,
recbLeA234skLNQcV,Resolve Mid Cheek - Flattened with Facelift,Restore Volume & Definition,Mid Cheek Flattening,,
recbWwMQqc7nTF8ED,Resolve Droopy Tip with Rhinoplasty,Facial Balancing,Droopy Tip,,
recbbZa92ig9DBLRJ,Solve Prejowl Sulcus with Fat Grafting,Restore Volume & Definition,Prejowl Sulcus,,
recclSfDQJRzA5ztq,Resolve Excess Skin - Lower Eyelid with Topical/Skincare,Improve Skin Texture & Tone; Eyelid & Eye Area Concerns,Lower Eyelid - Excess Skin,,
recddW1VaQw9NOLXG,Resolve Under Eye Hollow with Chemical Peel,Restore Volume & Definition; Improve Skin Texture & Tone; Eyelid & Eye Area Concerns,Under Eye Hollow,,
recdnVbtjlNcf5gbs,Smooth Smile Lines with Facelift,Smooth Wrinkles & Lines,Nasolabial Folds Marionette Lines,,
recdqGEUH108CeYlz,Resolve Brow Asymmetry with Browlift,Facial Balancing,Brow Asymmetry,,
receXGWIUcKPr7idv,Contour Submentum with Liposuction,Improve Skin Texture & Tone,Excess/Submental Fullness Obtuse Cervicomental Angle [DEPRECATED],,
receceTP4EZjHhrYp,Burn Off Stubborn Fat with PHYSIQ 360 Body Contouring,Body Contouring & Fat Reduction,Stubborn Fat,,
recf8Ho2s14QhuUSa,Resolve Cheilosis with Corner Lip Lift,Improve Skin Texture & Tone,,,
recfAou41aYczf0FP,Resolve Nose Under-Rotated with Rhinoplasty,Facial Balancing,Under-Rotated,,
recfCBcAN1ciyBTbU,Resolve Nose Under-Projected with Liquid Rhinoplasty,Facial Balancing,Under-Projected,,
recfPeRPnp50IDW1Z,Smoothen Wrinkles with Neurotoxin,Smooth Wrinkles & Lines,,,
recfb0tbad1JsrGLH,Resolve Nose Over-Rotated with Rhinoplasty,Facial Balancing,Over-Rotated,,
recfbUndrNj2Oe6gD,Resolve Gummy Smile with Neurotoxin,Facial Balancing; Smooth Wrinkles & Lines,Gummy Smile,,
recgCbAoLI777gpwb,Resolve Prejowl Sulcus with Threadlift,Restore Volume & Definition,Prejowl Sulcus,,
recgdd5uyqS5vgW0x,Hydrate Dry Skin with Topical/Skincare,Improve Skin Texture & Tone,,,
recgyEK5LD6suWzbh,Resolve Neck Excess Skin with Microneedling,Improve Skin Texture & Tone,Loose Neck Skin,,
rechhaGf1RMFChTnq,Fade Scars with Microneedling,Improve Skin Texture & Tone,Scars,,
rechlMc5hzxYBrPE3,Resolve Dorsal Hump with Liquid Rhinoplasty,Facial Balancing,Dorsal Hump,,
rechqJh7tFVTGxorY,Resolve Thin Lips with Filler,Restore Volume & Definition,Thin Lips,,
reciE0fcDkrPx8PCz,Smooth Neck Lines with Neurotoxin,Smooth Wrinkles & Lines; Improve Skin Texture & Tone,Neck Lines,,
reciIqHry3RtoflYv,Smooth Smile Lines with Microneedling,Smooth Wrinkles & Lines; Improve Skin Texture & Tone,Nasolabial Folds Marionette Lines,,
reciN6ujbd4RbiecQ,Resolve Prejowl Sulcus with Filler,Restore Volume & Definition,,,
reciZ29TeybjNbDAq,Smoothen Wrinkles with Heat/Energy,Smooth Wrinkles & Lines,,,
reciuSusMZxBcPQIF,Resolve Brow Ptosis with Filler,Facial Balancing,Brow Ptosis,,
recj1KjwPmirgcSXt,Resolve Columellar Hang with Rhinoplasty,Facial Balancing,,,
recjiUWKVycta7zkh,Resolve Jawline Ill-Defined with Threadlift,Restore Volume & Definition,Ill-Defined Jawline,,
reck64zaDMfgO5DNT,Resolve Shallow Radix with Rhinoplasty,Facial Balancing,,,
reckQn2J5UPi2X5Fg,Resolve Neck Excess Skin with Threadlift,Improve Skin Texture & Tone,Loose Neck Skin,,
recl6i681c0Ppck5T,Resolve Upper Eyelid Droop with Blepharoplasty,Eyelid & Eye Area Concerns,,,
reclJntsa0gSM2o8S,Resolve Narrow Jawline with Jaw Implant,Restore Volume & Definition,Narrow Jawline,,
reclaWwuMgkAPwOe4,Resolve Retruded Chin with Fat Grafting,Restore Volume & Definition,Retruded Chin,,
recm4aK5sIImkvDIc,Resolve Brow Asymmetry with Neurotoxin,Facial Balancing; Smooth Wrinkles & Lines,Brow Asymmetry,,
recmn9C12s00Fnjjp,Resolve Too Wide - Nasal Bone with Rhinoplasty,Facial Balancing,,,
recnGnZfFVtNSi4vH,Fade Dark Spots with Topical/Skincare,Reduce Dark Spots & Discoloration,Dark Spots,,
recnJCFafLDdTWHqX,Resolve Platysmal Bands with Neurotoxin,Smooth Wrinkles & Lines; Improve Skin Texture & Tone,Platysmal Bands,,
recnoyDWJsacV0CXO,Smooth Smile Lines with Threadlift,Smooth Wrinkles & Lines,Nasolabial Folds Marionette Lines,,
recnp712Kc8Hx95SP,Smoothen Wrinkles with Topical/Skincare,Smooth Wrinkles & Lines,,,
reco0fP0fWlHHuoUE,Resolve Shallow Labiomental Groove with Chin Implant,Restore Volume & Definition,,,
recoCTikbsHYm5zyE,Resolve Alar Retraction with Rhinoplasty,Facial Balancing,,,
recoH8bByi19k5orU,Contour Submentum with Liposuction,Improve Skin Texture & Tone,Excess/Submental Fullness Obtuse Cervicomental Angle [DEPRECATED],,
recoUs9XIZWStoI6X,Resolve Long Philtral Column with Lip Lift,Facial Balancing,Long Philtral Column,,
recoV8QYMHSCOMDS5,Resolve Asymmetric Nostril Base with Rhinoplasty,Facial Balancing,,,
recoh2n38zA7uycSH,Solve Under Eye Wrinkles with Blepharoplasty,Smooth Wrinkles & Lines; Eyelid & Eye Area Concerns,Under Eye Wrinkles,,
recpQFltIq03zT6P0,Resolve Brow Ptosis with Browlift,Facial Balancing,Brow Ptosis,,
recplDjkqUMGOppYZ,Lighten Dark Circles with Chemical Peel,Improve Skin Texture & Tone; Eyelid & Eye Area Concerns,Under Eye Dark Circles,,
recqs5nTkSXOZ7YYV,Resolve Crooked Nose with Rhinoplasty,Facial Balancing,Crooked Nose,,
recrEuVSGTZzIUsZ2,Improve Cheekbone Fullness with Facelift,Restore Volume & Definition,Cheekbone - Not Prominent,,
recrTqUFzfLHx0usK,Resolve Brow Ptosis with Neurotoxin,Facial Balancing; Smooth Wrinkles & Lines,,,
recryEg4u5PkBXAjb,Solve Ill Defined Jawline with Necklift,Restore Volume & Definition; Improve Skin Texture & Tone,Ill-Defined Jawline,,
recs3VC9NonG9FWUa,Resolve Deep Radix with Rhinoplasty,Facial Balancing,,,
recsJxremsml0rwXv,Resolve Jowls with Facelift/Necklift,Improve Skin Texture & Tone,Jowls,,
recsQULXGvLt4LQUm,Resolve Brow Asymmetry with Threadlift,Facial Balancing,Brow Asymmetry,,
recsYeygjt7Qe4IDM,Resolve Nose Over-Projected with Rhinoplasty,Facial Balancing,Over-Projected,,
recsbQfx2x4NZlxOJ,Resolve Nose Over-Rotated with Liquid Rhinoplasty,Facial Balancing,Over-Rotated,,
recsnCp7YtUXYGbQa,Resolve Jowls with Heat/Energy,Improve Skin Texture & Tone,Jowls,,
rectFfW51bgYEWO6W,Resolve Jawline Ill-Defined with Fat Grafting,Restore Volume & Definition,Ill-Defined Jawline,,
rectMqeTvWRkcQsK4,Resolve Cheekbone - Not Prominent with Filler,Restore Volume & Definition,Cheekbone - Not Prominent,,
recu7NpLpUUT5ntiy,Resolve Too Narrow - Nasal Bone with Rhinoplasty,Facial Balancing; Restore Volume & Definition,,,
recuYpylvaPcqDoNP,Resolve Upper Eyelid Droop with Upneeq,Eyelid & Eye Area Concerns,Upper Eyelid Droop,,
recuukhGcqUjfCL9Q,Resolve Under Eye Hollow with Microneedling,Restore Volume & Definition; Improve Skin Texture & Tone; Eyelid & Eye Area Concerns,Under Eye Hollow,,
recvCndjzK1OZD8kz,Resolve Too Narrow - Nostril Base with Rhinoplasty,Facial Balancing; Restore Volume & Definition,,,
recvSz776om40f1m8,Resolve Nasal Tip Too Narrow with Liquid Rhinoplasty,Facial Balancing; Restore Volume & Definition,Nasal Tip Too Narrow,,
recvWshJ89JSrz7XC,Lighten Dark Circles with Fillers,Restore Volume & Definition; Eyelid & Eye Area Concerns,Under Eye Dark Circles,,
recvYIypJRmGysJRW,Solve Ill Defined Jawline with Facelift,Restore Volume & Definition,Ill-Defined Jawline,,
recvp7xuZA6Fz313a,Resolve Jawline Ill-Defined with Heat/Energy,Restore Volume & Definition,Ill-Defined Jawline,,
recw0hTcHU5ZRWB9a,Smooth Nasolabial Lines with Filler,Smooth Wrinkles & Lines,Nasolabial Folds,,
recwbhunGR3nICNh4,Resolve Jowls with Chemical Peel,Improve Skin Texture & Tone,Jowls,,
recwd1qV71M4rnSEV,Diminish Red Spots with Heat/Energy,Improve Skin Texture & Tone,Red Spots,,
recx8X4omgnYMXpKJ,Resolve Neck Excess Skin with Neurotoxin,Smooth Wrinkles & Lines; Improve Skin Texture & Tone,Loose Neck Skin,,
recxBxN7w3ISMZ83H,Resolve Upper Eye Hollow with Fat Grafting,Restore Volume & Definition,Upper Eye Hollow,,
recxDCtziA9a0yKDw,Smooth Under Eye Wrinkles with Microneedling,Smooth Wrinkles & Lines; Improve Skin Texture & Tone; Eyelid & Eye Area Concerns,Under Eye Wrinkles,,
recxU0FpEDYRVz06l,Resolve Nose Under-Projected with Rhinoplasty,Facial Balancing,Under-Projected,,
recxycQc4hulKpsmn,Burn Off Stubborn Fat with Everesse RF Body Contouring,Body Contouring & Fat Reduction,Stubborn Fat,,
recyHYbBp8xUetx7f,Resolve Under Eye Hollow with Filler,Restore Volume & Definition; Eyelid & Eye Area Concerns,,,
recyd3FegGye3aaCh,Resolve Jawline Ill-Defined with Jaw Implant,Restore Volume & Definition,Ill-Defined Jawline,,
recz4feOXQ4x4puBJ,Resolve Deep Labiomental Groove with Jaw Reduction,Restore Volume & Definition,,,
recz9RI2wXb4qCNEV,Lighten Dark Circles with Topical/Skincare,Eyelid & Eye Area Concerns,Under Eye Dark Circles,,
reczAhYBCgBNiHoeb,Solve Excess Submental Fullness with Necklift,Improve Skin Texture & Tone,Excess/Submental Fullness,,
reczG29LktxBlh6eV,Resolve Masseter Hypertrophy with Neurotoxin,Smooth Wrinkles & Lines,Masseter Hypertrophy,,
reczHnOWx2sCiv2QK,Smoothen Wrinkles with Filler,Smooth Wrinkles & Lines,,,
reczgDgGmKO6Vslap,Resolve Columellar Retraction with Rhinoplasty,Facial Balancing,,,
reczqLstrRQPrKwgf,Resolve Excess Skin - Upper Eyelid with Heat/Energy,Eyelid & Eye Area Concerns,Excess Upper Eyelid Skin,,
reczwBf9Db8VH7NJE,Resolve Excess Skin - Lower Eyelid with Microneedling,Improve Skin Texture & Tone; Eyelid & Eye Area Concerns,Lower Eyelid - Excess Skin,,
reczxqJp3zNylgxaR,Resolve Excess Skin - Lower Eyelid with Heat/Energy,Improve Skin Texture & Tone; Eyelid & Eye Area Concerns,Lower Eyelid - Excess Skin,,
