Extracted Suggestion Name,Example Original Case Names
"Resolve Lacking Philtral Column","Resolve Lacking Philtral Column with Filler; Resolve Lacking Philtral Column with Lip Lift; Resolve Lacking Philtral Column with Fat Grafting"
"Resolve Lip Thinning When Smiling","Resolve Lip Thinning When Smiling with Neurotoxin; Resolve Lip Thinning When Smiling with Lip Lift"
"Resolve Long Philtral Column","Resolve Long Philtral Column with Filler; Resolve Long Philtral Column with Lip Lift"
"Resolve Lower Cheek Over Fill","Resolve Lower Cheek Over Fill with Buccal Fat Pad Removal"
"Resolve Lower Cheek Volume Depletion","Resolve Lower Cheek Volume Depletion with Fat Grafting; Resolve Lower Cheek Volume Depletion with Filler"
"Resolve Lower Eyelid Sag","Resolve Lower Eyelid Sag with Blepharoplasty"
"Resolve Masseter Hypertrophy","Resolve Masseter Hypertrophy with Neurotoxin"
"Resolve Mid Cheek - Flattened","Resolve Mid Cheek - Flattened with Filler; Resolve Mid Cheek - Flattened with Cheek Implant; Resolve Mid Cheek - Flattened with Fat Grafting"
"Resolve Narrow Jawline","Resolve Narrow Jawline with Filler; Resolve Narrow Jawline with Jaw Implant"
"Resolve Nasal Tip Too Narrow","Resolve Nasal Tip Too Narrow with Rhinoplasty; Resolve Nasal Tip Too Narrow with Liquid Rhinoplasty"
"Resolve Nasal Tip Too Wide","Resolve Nasal Tip Too Wide with Rhinoplasty"
"Resolve Neck Excess Skin","Resolve Neck Excess Skin with Filler; Resolve Neck Excess Skin with Topical/Skincare; Resolve Neck Excess Skin with Chemical Peel"
"Resolve Negative Canthal Tilt","Resolve Negative Canthal Tilt with Lateral Canthopexy"
"Resolve Nose Over-projected","Resolve Nose Over-Projected with Rhinoplasty"
"Resolve Nose Over-rotated","Resolve Nose Over-Rotated with Rhinoplasty; Resolve Nose Over-Rotated with Liquid Rhinoplasty"
"Resolve Nose Under-projected","Resolve Nose Under-Projected with Liquid Rhinoplasty; Resolve Nose Under-Projected with Rhinoplasty"
"Resolve Nose Under-rotated","Resolve Nose Under-Rotated with Threadlift; Resolve Nose Under-Rotated with Rhinoplasty"
"Resolve Oily Skin","Resolve Oily Skin with Topical/Skincare"
"Resolve Over-projected Chin","Resolve Over-Projected Chin with Jaw Reduction"
"Resolve Platysmal Bands","Resolve Platysmal Bands with Necklift; Resolve Platysmal Bands with Heat/Energy; Resolve Platysmal Bands with Threadlift"
"Resolve Prejowl Sulcus","Resolve Prejowl Sulcus with Facelift; Resolve Prejowl Sulcus with Filler; Resolve Prejowl Sulcus with Threadlift"
"Resolve Retruded Chin","Resolve Retruded Chin with Chin Implant; Resolve Retruded Chin with Filler; Resolve Retruded Chin with Fat Grafting"
"Resolve Shallow Labiomental Groove","Resolve Shallow Labiomental Groove with Fat Grafting; Resolve Shallow Labiomental Groove with Filler; Resolve Shallow Labiomental Groove with Chin Implant"
"Resolve Shallow Radix","Resolve Shallow Radix with Rhinoplasty"
"Resolve Temporal Hollow","Resolve Temporal Hollow with Fat Grafting; Resolve Temporal Hollow with Filler"
"Resolve Thin Lips","Resolve Thin Lips with Lip Lift; Resolve Thin Lips with Filler; Resolve Thin Lips with Filler"
"Resolve Tip Droop When Smiling","Resolve Tip Droop When Smiling with Neurotoxin; Resolve Tip Droop When Smiling with Rhinoplasty"
"Resolve Too Narrow - Nasal Bone","Resolve Too Narrow - Nasal Bone with Rhinoplasty"
"Resolve Too Narrow - Nostril Base","Resolve Too Narrow - Nostril Base with Rhinoplasty"
"Resolve Too Wide - Nasal Bone","Resolve Too Wide - Nasal Bone with Rhinoplasty"
"Resolve Too Wide - Nostril Base","Resolve Too Wide - Nostril Base with Rhinoplasty"
"Resolve Under Eye Hollow","Resolve Under Eye Hollow with Oral/Topical; Resolve Under Eye Hollow with Fat Grafting; Resolve Under Eye Hollow with Heat/Energy"
"Resolve Upper Eye Hollow","Resolve Upper Eye Hollow with Filler; Resolve Upper Eye Hollow with Fat Grafting"
"Resolve Upper Eyelid Droop","Resolve Upper Eyelid Droop with Heat/Energy; Resolve Upper Eyelid Droop with Heat/Energy; Resolve Upper Eyelid Droop with Chemical Peel"
"Resolve Wide Chin","Resolve Wide Chin with Jaw Reduction; Resolve Wide Chin with Filler"
"Resolve Wide Jawline","Resolve Wide Jawline with Jaw Reduction"
"Smooth Nasolabial Lines","Smooth Nasolabial Lines with Heat/Energy; Smooth Nasolabial Lines with Filler"
"Smooth Neck Lines","Smooth Neck Lines with Microneedling; Smooth Neck Lines with Filler; Smooth Neck Lines with Neurotoxin"
"Smooth Smile Lines","Smooth Smile Lines with Chemical Peel; Smooth Smile Lines with Fat Grafting; Smooth Smile Lines with Facelift"
"Smooth Under Eye Wrinkles","Smooth Under Eye Wrinkles with Heat/Energy; Smooth Under Eye Wrinkles with Neurotoxin; Smooth Under Eye Wrinkles with Filler"
"Smoothen Wrinkles","Smoothen Wrinkles with Microneedling; Smoothen Wrinkles with Chemical Peel; Smoothen Wrinkles with Neurotoxin"
"Solve Excess Submental Fullness","Solve Excess Submental Fullness with Necklift"
"Solve Ill Defined Jawline","Solve Ill Defined Jawline with Necklift; Solve Ill Defined Jawline with Facelift"
"Solve Prejowl Sulcus","Solve Prejowl Sulcus with Facial Implant; Solve Prejowl Sulcus with Fat Grafting"
"Solve Under Eye Wrinkles","Solve Under Eye Wrinkles with Blepharoplasty; Solve Under Eye Wrinkles with Blepharoplasty"
"Tighten Skin Laxity","Tighten Skin Laxity with Topical/Skincare; Tighten Skin Laxity with Heat/Energy; Tighten Skin Laxity with Filler"
