Case ID,Case Name,Keyword Matched Areas,Keyword Count,Airtable Areas,Airtable Count,Matching Areas,Keyword Only,Airtable Only,Matching Criteria,Solved
"recGS91fpf9suCUhI","Resolve Neck Excess Skin with Chemical Peel","Neck; Skin",2,"Jawline",1,,"Neck; Skin","Jawline",,
"recH85gKwK0jkwW56","Resolve Brow Ptosis with Heat/Energy","Eyes; Forehead",2,"Forehead",1,"Forehead","Eyes",,,
"recHE5gtVtGQe5FP0","Resolve Lip Thinning When Smiling with Neurotoxin","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"recHUxAPzgduPhz52","Lighten Dark Circles with Heat/Energy",,0,"Eyes",1,,,"Eyes",,
"recHgyAffHULS8Pzf","Resolve Eyelid Bags with Filler","Eyes",1,"Eyes",1,"Eyes",,,,
"recHkYXJuU13Zd8PK","Resolve Oily Skin with Topical/Skincare","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recI6fnyfUcPBULuv","Resolve Brow Asymmetry with Filler","Eyes; Forehead",2,"Forehead",1,"Forehead","Eyes",,,
"recITWpEtALmDztqr","Resolve Tip Droop When Smiling with Neurotoxin",,0,"Nose",1,,,"Nose",,
"recIfsf45CHSrZjjr","Resolve Tip Droop When Smiling with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recJYK1Mr6LXxrlt1","Resolve Gummy Smile with Lip Release","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"recJpAlijbaiCnabw","Smooth Under Eye Wrinkles with Neurotoxin","Eyes; Skin",2,"Skin All",1,,"Eyes; Skin","Skin All",,
"recJqv5n5I5Sc3vep","Tighten Skin Laxity with Filler","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recL4OUGPvZj8ztOc","Fade Dark Spots with Heat/Energy","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recLM7Hv6ip1g5JkC","Fade Scars with Chemical Peel","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recLVToCtcqE8PtqE","Resolve Jawline Ill-Defined with Chemical Peel","Jawline; Chin/Jaw; Skin",3,"Jawline",1,"Jawline","Chin/Jaw; Skin",,,
"recLd6TIaKDSjyfnF","Resolve Lower Cheek Over Fill with Buccal Fat Pad Removal","Cheeks",1,"Jawline",1,,"Cheeks","Jawline",,
"recLiEXtGdqbwGClp","Resolve Retruded Chin with Chin Implant","Chin; Chin/Jaw",2,"Jawline",1,,"Chin; Chin/Jaw","Jawline",,
"recN1Hbs50QgZgxQK","Resolve Flat Forehead with Filler","Forehead",1,"Forehead",1,"Forehead",,,,
"recN7epp9z7dCvNo7","Resolve Cheilosis with Filler",,0,"Mouth & Lips",1,,,"Mouth & Lips",,
"recNoy8fYNHPrMJnO","Diminish Blackheads with Oral/Topical",,0,"Skin All",1,,,"Skin All",,
"recNxtvVkfM6wIbn5","Resolve Under Eye Hollow with Fat Grafting","Eyes",1,"Eyes",1,"Eyes",,,,
"recObiye7WXlfV5AB","Tighten Skin Laxity with Microneedling","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recOpojB5zUyWRFYq","Resolve Deep Radix with Liquid Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recOyBrkyZwwJ1S0w","Resolve Upper Eyelid Droop with Heat/Energy","Eyes",1,"Eyes",1,"Eyes",,,,
"recOzMAfbQLdyj0pk","Resolve Alar Hang with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recPL3MPe8g400jV6","Resolve Temporal Hollow with Fat Grafting","Forehead",1,"Forehead",1,"Forehead",,,,
"recPLgIfyPHMoOBFs","Resolve Thin Lips with Filler","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"recPNLhyWgsNfUeQU","Tighten Skin Laxity with Chemical Peel","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recPeVAFCYuHEcrs1","Resolve Lower Eyelid Sag with Blepharoplasty","Eyes",1,"Eyes",1,"Eyes",,,,
"recPeXtFJinA94env","Resolve Excess Skin - Lower Eyelid with Blepharoplasty","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
"recQAAfXQpTQLuJdL","Resolve Platysmal Bands with Necklift","Neck",1,"Jawline",1,,"Neck","Jawline",,
"recQOYS1r8g2QsELA","Solve Prejowl Sulcus with Facial Implant","Chin/Jaw",1,"Jawline",1,,"Chin/Jaw","Jawline",,
"recQaJw1OpbhMrgfU","Contour Submentum with Kybella",,0,"Jawline",1,,,"Jawline",,
"recRVKr2A5BUZM2jt","Resolve Mid Cheek - Flattened with Fat Grafting","Cheeks",1,"Cheeks",1,"Cheeks",,,,
"recRWhIKJdSGH5iNi","Resolve Nasal Tip Too Wide with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recSEntcPxuGiYAm6","Resolve Brow Asymmetry with Threadlift","Eyes; Forehead",2,"Forehead",1,"Forehead","Eyes",,,
"recSNi15VWPB3PDwU","Resolve Too Wide - Nostril Base with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recSvpoCu6sSjzv3F","Smooth Under Eye Wrinkles with Filler","Eyes; Skin",2,"Skin All",1,,"Eyes; Skin","Skin All",,
"recTzzrGAOpXr21EV","Resolve Prejowl Sulcus with Filler","Chin/Jaw",1,"Jawline",1,,"Chin/Jaw","Jawline",,
"recUOVZa6W2KZ0gm4","Resolve Upper Eye Hollow with Filler","Eyes",1,"Eyes",1,"Eyes",,,,
"recURzdg3sM9tJZbi","Brighten Under Eye Dark Circles with Microneedling","Eyes",1,"Eyes",1,"Eyes",,,,
"recUXUBEPg7z0Ta6B","Resolve Neck Excess Skin with Heat/Energy","Neck; Skin",2,"Jawline",1,,"Neck; Skin","Jawline",,
"recUZXcmjuHGb7hDZ","Resolve Excess Skin - Upper Eyelid with Topical/Skincare","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
"recUqgRGXd1F9rYFR","Improve Cheekbone Fullness with Facelift","Cheeks",1,"Cheeks",1,"Cheeks",,,,
"recUrFMXVLkxiTIK6","Resolve Wide Chin with Jaw Reduction","Jawline; Chin; Chin/Jaw",3,"Jawline",1,"Jawline","Chin; Chin/Jaw",,,
"recV37RRK7kSKjVug","Resolve Brow Ptosis with Chemical Peel","Eyes; Forehead; Skin",3,"Forehead",1,"Forehead","Eyes; Skin",,,
"recVAEz7Cvx50m0no","Resolve Lacking Philtral Column with Fat Grafting","Lips",1,"Mouth & Lips",1,,"Lips","Mouth & Lips",,
"recVlEc05yi7BzPCA","Resolve Platysmal Bands with Heat/Energy","Neck",1,"Jawline",1,,"Neck","Jawline",,
"recVr90ML5qDGpqr1","Resolve Nose Under-Rotated with Threadlift","Nose",1,"Nose",1,"Nose",,,,
"recVyBWsS4pPmbjqa","Resolve Asymmetric Lips with Filler","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"recW30FSgmeCmNTHh","Resolve Asymmetric Lips with Neurotoxin","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"recW9Wu74qZWF56wi","Smooth Nasolabial Lines with Heat/Energy",,0,"Skin All",1,,,"Skin All",,
"recWBFCWAZmstER0s","Resolve Neck Excess Skin with Facelift","Neck; Skin",2,"Jawline",1,,"Neck; Skin","Jawline",,
"recWqhtAhG8UK6qlt","Resolve Under Eye Hollow with Heat/Energy","Eyes",1,"Eyes",1,"Eyes",,,,
"recWwH2qqcMeoumQi","Resolve Flat Forehead with Fat Grafting","Forehead",1,"Forehead",1,"Forehead",,,,
"recX5Ugv9bYGafcLz","Resolve Under Eye Hollow with Blepharoplasty","Eyes",1,"Eyes",1,"Eyes",,,,
"recX6nIQTSQzpbRf2","Tighten Skin Laxity with Neurotoxin","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recX8fpi4sKiMbVjE","Resolve Brow Ptosis with Microneedling","Eyes; Forehead",2,"Forehead",1,"Forehead","Eyes",,,
"recXUq7HQP9OJIawU","Diminish Red Spots with Oral/Topical","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recXWbmo42zOd9Mch","Resolve Crooked Nose with Liquid Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recXliMUxm8xUqUTS","Resolve Jawline Ill-Defined with Liposuction","Mouth & Lips; Jawline; Lips; Chin/Jaw",4,"Jawline",1,"Jawline","Mouth & Lips; Lips; Chin/Jaw",,,
"recY4UBtk4mI7OtuG","Smooth Smile Lines with Fat Grafting",,0,"Jawline",1,,,"Jawline",,
"recYHGC8Zuf3RQOjq","Resolve Upper Eyelid Droop with Chemical Peel","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
"recYNu8T6nwDRGl7P","Resolve Cheekbone - Not Prominent with Fat Grafting","Cheeks",1,"Cheeks",1,"Cheeks",,,,
"recYfha7wV8CDu2QI","Resolve Shallow Labiomental Groove with Filler",,0,"Jawline",1,,,"Jawline",,
"recYjY7WKsBNNEzJ4","Resolve Platysmal Bands with Threadlift","Neck",1,"Jawline",1,,"Neck","Jawline",,
"recZYsKwCgdoClypF","Resolve Temporal Hollow with Filler","Forehead",1,"Forehead",1,"Forehead",,,,
"reca2WnfVwkffvwQ8","Resolve Retruded Chin with Filler","Chin; Chin/Jaw",2,"Jawline",1,,"Chin; Chin/Jaw","Jawline",,
"recb6AfUJDmUicgMf","Resolve Wide Chin with Filler","Chin; Chin/Jaw",2,"Jawline",1,,"Chin; Chin/Jaw","Jawline",,
"recb6VX1xzMkEWNDb","Resolve Lip Thinning When Smiling with Lip Lift","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"recbDNhFYwuvbmwkF","Smooth Neck Lines with Filler","Neck",1,"Skin All",1,,"Neck","Skin All",,
"recbLeA234skLNQcV","Resolve Mid Cheek - Flattened with Facelift","Cheeks",1,"Cheeks",1,"Cheeks",,,,
"recbWwMQqc7nTF8ED","Resolve Droopy Tip with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recbbZa92ig9DBLRJ","Solve Prejowl Sulcus with Fat Grafting","Chin/Jaw",1,"Jawline",1,,"Chin/Jaw","Jawline",,
"recclSfDQJRzA5ztq","Resolve Excess Skin - Lower Eyelid with Topical/Skincare","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
"recddW1VaQw9NOLXG","Resolve Under Eye Hollow with Chemical Peel","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
"recdnVbtjlNcf5gbs","Smooth Smile Lines with Facelift",,0,"Skin All Skin All",1,,,"Skin All Skin All",,
"recdqGEUH108CeYlz","Resolve Brow Asymmetry with Browlift","Eyes; Forehead",2,"Forehead",1,"Forehead","Eyes",,,
"receXGWIUcKPr7idv","Contour Submentum with Liposuction","Mouth & Lips; Lips",2,"Jawline",1,,"Mouth & Lips; Lips","Jawline",,
"receceTP4EZjHhrYp","Burn Off Stubborn Fat with PHYSIQ 360 Body Contouring",,0,,0,,,,,
"recf8Ho2s14QhuUSa","Resolve Cheilosis with Corner Lip Lift","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"recfAou41aYczf0FP","Resolve Nose Under-Rotated with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recfCBcAN1ciyBTbU","Resolve Nose Under-Projected with Liquid Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recfPeRPnp50IDW1Z","Smoothen Wrinkles with Neurotoxin","Skin",1,"Skin All Skin All",1,,"Skin","Skin All Skin All",,
"recfb0tbad1JsrGLH","Resolve Nose Over-Rotated with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recfbUndrNj2Oe6gD","Resolve Gummy Smile with Neurotoxin","Lips",1,"Mouth & Lips",1,,"Lips","Mouth & Lips",,
"recgCbAoLI777gpwb","Resolve Prejowl Sulcus with Threadlift","Chin/Jaw",1,"Jawline",1,,"Chin/Jaw","Jawline",,
"recgdd5uyqS5vgW0x","Hydrate Dry Skin with Topical/Skincare","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recgyEK5LD6suWzbh","Resolve Neck Excess Skin with Microneedling","Neck; Skin",2,"Jawline",1,,"Neck; Skin","Jawline",,
"rechhaGf1RMFChTnq","Fade Scars with Microneedling","Skin",1,"Skin All",1,,"Skin","Skin All",,
"rechlMc5hzxYBrPE3","Resolve Dorsal Hump with Liquid Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"rechqJh7tFVTGxorY","Resolve Thin Lips with Filler","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"reciE0fcDkrPx8PCz","Smooth Neck Lines with Neurotoxin","Neck",1,"Skin All",1,,"Neck","Skin All",,
"reciIqHry3RtoflYv","Smooth Smile Lines with Microneedling",,0,"Skin All Skin All",1,,,"Skin All Skin All",,
"reciN6ujbd4RbiecQ","Resolve Prejowl Sulcus with Filler","Chin/Jaw",1,"Jawline",1,,"Chin/Jaw","Jawline",,
"reciZ29TeybjNbDAq","Smoothen Wrinkles with Heat/Energy","Skin",1,"Skin All Skin All Skin All Skin All Skin All Skin All Skin All",1,,"Skin","Skin All Skin All Skin All Skin All Skin All Skin All Skin All",,
"reciuSusMZxBcPQIF","Resolve Brow Ptosis with Filler","Eyes; Forehead",2,"Forehead",1,"Forehead","Eyes",,,
"recj1KjwPmirgcSXt","Resolve Columellar Hang with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recjiUWKVycta7zkh","Resolve Jawline Ill-Defined with Threadlift","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"reck64zaDMfgO5DNT","Resolve Shallow Radix with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"reckQn2J5UPi2X5Fg","Resolve Neck Excess Skin with Threadlift","Neck; Skin",2,"Jawline",1,,"Neck; Skin","Jawline",,
"recl6i681c0Ppck5T","Resolve Upper Eyelid Droop with Blepharoplasty","Eyes",1,"Eyes",1,"Eyes",,,,
"reclJntsa0gSM2o8S","Resolve Narrow Jawline with Jaw Implant","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"reclaWwuMgkAPwOe4","Resolve Retruded Chin with Fat Grafting","Chin; Chin/Jaw",2,"Jawline",1,,"Chin; Chin/Jaw","Jawline",,
"recm4aK5sIImkvDIc","Resolve Brow Asymmetry with Neurotoxin","Eyes; Forehead",2,"Forehead",1,"Forehead","Eyes",,,
"recmn9C12s00Fnjjp","Resolve Too Wide - Nasal Bone with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recnGnZfFVtNSi4vH","Fade Dark Spots with Topical/Skincare","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recnJCFafLDdTWHqX","Resolve Platysmal Bands with Neurotoxin","Neck",1,"Jawline",1,,"Neck","Jawline",,
"recnoyDWJsacV0CXO","Smooth Smile Lines with Threadlift",,0,"Skin All Skin All",1,,,"Skin All Skin All",,
"recnp712Kc8Hx95SP","Smoothen Wrinkles with Topical/Skincare","Skin",1,"Skin All Skin All Skin All Skin All Skin All Skin All Skin All",1,,"Skin","Skin All Skin All Skin All Skin All Skin All Skin All Skin All",,
"reco0fP0fWlHHuoUE","Resolve Shallow Labiomental Groove with Chin Implant","Chin; Chin/Jaw",2,"Jawline",1,,"Chin; Chin/Jaw","Jawline",,
"recoCTikbsHYm5zyE","Resolve Alar Retraction with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recoH8bByi19k5orU","Contour Submentum with Liposuction","Mouth & Lips; Lips",2,"Jawline",1,,"Mouth & Lips; Lips","Jawline",,
"recoUs9XIZWStoI6X","Resolve Long Philtral Column with Lip Lift","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"recoV8QYMHSCOMDS5","Resolve Asymmetric Nostril Base with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recoh2n38zA7uycSH","Solve Under Eye Wrinkles with Blepharoplasty","Eyes; Skin",2,"Skin All",1,,"Eyes; Skin","Skin All",,
"recpQFltIq03zT6P0","Resolve Brow Ptosis with Browlift","Eyes; Forehead",2,"Forehead",1,"Forehead","Eyes",,,
"recplDjkqUMGOppYZ","Lighten Dark Circles with Chemical Peel","Skin",1,"Eyes",1,,"Skin","Eyes",,
"recqs5nTkSXOZ7YYV","Resolve Crooked Nose with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recrEuVSGTZzIUsZ2","Improve Cheekbone Fullness with Facelift","Cheeks",1,"Cheeks",1,"Cheeks",,,,
"recrTqUFzfLHx0usK","Resolve Brow Ptosis with Neurotoxin","Eyes; Forehead",2,"Forehead",1,"Forehead","Eyes",,,
"recryEg4u5PkBXAjb","Solve Ill Defined Jawline with Necklift","Jawline; Neck; Chin/Jaw",3,"Jawline",1,"Jawline","Neck; Chin/Jaw",,,
"recs3VC9NonG9FWUa","Resolve Deep Radix with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recsJxremsml0rwXv","Resolve Jowls with Facelift/Necklift","Neck; Chin/Jaw",2,"Jawline",1,,"Neck; Chin/Jaw","Jawline",,
"recsQULXGvLt4LQUm","Resolve Brow Asymmetry with Threadlift","Eyes; Forehead",2,"Forehead",1,"Forehead","Eyes",,,
"recsYeygjt7Qe4IDM","Resolve Nose Over-Projected with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recsbQfx2x4NZlxOJ","Resolve Nose Over-Rotated with Liquid Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recsnCp7YtUXYGbQa","Resolve Jowls with Heat/Energy","Chin/Jaw",1,"Jawline",1,,"Chin/Jaw","Jawline",,
"rectFfW51bgYEWO6W","Resolve Jawline Ill-Defined with Fat Grafting","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"rectMqeTvWRkcQsK4","Resolve Cheekbone - Not Prominent with Filler","Cheeks",1,"Cheeks",1,"Cheeks",,,,
"recu7NpLpUUT5ntiy","Resolve Too Narrow - Nasal Bone with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recuYpylvaPcqDoNP","Resolve Upper Eyelid Droop with Upneeq","Eyes",1,"Eyes",1,"Eyes",,,,
"recuukhGcqUjfCL9Q","Resolve Under Eye Hollow with Microneedling","Eyes",1,"Eyes",1,"Eyes",,,,
"recvCndjzK1OZD8kz","Resolve Too Narrow - Nostril Base with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recvSz776om40f1m8","Resolve Nasal Tip Too Narrow with Liquid Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recvWshJ89JSrz7XC","Lighten Dark Circles with Fillers",,0,"Eyes",1,,,"Eyes",,
"recvYIypJRmGysJRW","Solve Ill Defined Jawline with Facelift","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"recvp7xuZA6Fz313a","Resolve Jawline Ill-Defined with Heat/Energy","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"recw0hTcHU5ZRWB9a","Smooth Nasolabial Lines with Filler",,0,"Skin All",1,,,"Skin All",,
"recwbhunGR3nICNh4","Resolve Jowls with Chemical Peel","Chin/Jaw; Skin",2,"Jawline",1,,"Chin/Jaw; Skin","Jawline",,
"recwd1qV71M4rnSEV","Diminish Red Spots with Heat/Energy","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recx8X4omgnYMXpKJ","Resolve Neck Excess Skin with Neurotoxin","Neck; Skin",2,"Jawline",1,,"Neck; Skin","Jawline",,
